,Dates,Traveler,Member,Party,State / District,Destination,Sponsor,Filing Type
19,"Oct. 5, 2023 - Oct. 15, 2023",Christopher Ringer,Jeffrey Duncan,R,SC-3,Japan,Japan Center for International Exchange,Original
20,"Oct. 8, 2023 - Oct. 15, 2023",Rahmon Ross,Jennifer McClellan,D,VA-4,Japan,Japan Center for International Exchange,Original
21,"Oct. 7, 2023 - Oct. 15, 2023",Steven Clark,Alex Mooney,R,WV-2,Japan,Japan Center for International Exchange,Original
22,"Oct. 10, 2023 - Oct. 14, 2023",Shaina Zarkin-Scott,Marie Gluesenkamp Perez,D,WA-3,"Cambridge, MA",Massachusetts Institute of Technology,Original
23,"Oct. 12, 2023 - Oct. 14, 2023","Constantinos ""Dean"" Ischiropoulos",Mary Gay Scanlon,D,PA-5,"Philadelphia, PA",Federal Home,Original
24,"Oct. 7, 2023 - Oct. 14, 2023",Caleb Kostreva,Cory Mills,R,FL-7,China,"American Foreign Policy Council, and Sarah Scaife Foundation Incorporated",Original
25,"Oct. 4, 2023 - Oct. 14, 2023",Jooeun Kim,Jennifer Wexton,D,VA-10,China,American Foreign Policy Council and Sarah Scaife Foundation Incorporated,Original
26,"Oct. 11, 2023 - Oct. 14, 2023",Jeffrey Nowill,Stacey Plaskett,D,VI,"San Francisco, CA","Software Education Foundation d.b.a. Software.org: the BSA Foundation (""Software.org"")",Original
27,"Oct. 11, 2023 - Oct. 13, 2023",Dev Jhaveri,Lori Trahan,D,MA-3,"Sunnyvale, CA",Information Technology and Innovation Foundation,Original
28,"Oct. 11, 2023 - Oct. 13, 2023",Darian Harbeck,Paul Tonko,D,NY-20,"Sunnyvale, CA",Information Technology and Innovation Foundation,Original
29,"Oct. 7, 2023 - Oct. 13, 2023",Jessica Larsen,Dean Phillips,D,MN-3,South Korea,Woodrow Wilson International Center for Scholars and Carnegie Corporation of New York,Original
30,"Oct. 7, 2023 - Oct. 13, 2023",Max Price,Debbie Wasserman Schultz,D,FL-25,South Korea,Woodrow Wilson International Center for Scholars and Carnegie Corporation of New York,Original
31,"Oct. 7, 2023 - Oct. 13, 2023",Monika Konrad,Mark Amodei,R,NV-2,South Korea,Woodrow Wilson International Center for Scholars and Carnegie Corporation of New York,Original
32,"Oct. 11, 2023 - Oct. 13, 2023",Sierra Fuller,Yvette D. Clarke,D,NY-9,"Sunnyvale, CA",Information Technology and Innovation Foundation,Original
33,"Oct. 11, 2023 - Oct. 13, 2023",Theodore Tanzer,Cathy McMorris Rodgers,R,WA-5,"Sunnyvale, CA",Information Technology and Innovation Foundation,Original
34,"Oct. 7, 2023 - Oct. 13, 2023",Elizabeth Mount,Elise Stefanik,R,NY-21,South Korea,Woodrow Wilson International Center for Scholars and Carnegie Corporation of New York,Original
35,"Oct. 7, 2023 - Oct. 13, 2023",Jack Lincoln,Ken Calvert,R,CA-41,South Korea,Woodrow Wilson International Center for Scholars and Carnegie Corporation of New York,Original
36,"Oct. 12, 2023 - Oct. 13, 2023",Christian Kerr,Robert Garcia,D,CA-42,"Philadelphia, PA","Federal Home Loan Bank of Pittsburgh, Federal Home Loan Bank of Atlanta, Federal Home Loan Bank of N",Original
37,"Oct. 7, 2023 - Oct. 13, 2023",James Dolbow,Austin Scott,R,GA-8,South Korea,Woodrow Wilson International Center for Scholars and Carnegie Corporation of New York,Original
38,"Oct. 12, 2023 - Oct. 13, 2023",Iyanla Kollock,Nikema Williams,D,GA-5,"Philadelphia, PA","Federal Home Loan Bank of Pittsburgh, Federal Home Loan Bank of Atlanta,",Original
39,"Oct. 11, 2023 - Oct. 13, 2023",Edwin Kindler,Bill Foster,D,IL-11,"Sunnyvale, CA",Information Technology and Innovation Foundation,Original
40,"Oct. 11, 2023 - Oct. 13, 2023",Earl Flood,Robin Kelly,D,IL-2,"San Francisco, CA",Software Education Foundation d.b.a. Software.org: the BSA Foundation,Original
41,"Oct. 7, 2023 - Oct. 13, 2023",Mary Croghan,Jim Jordan,R,OH-4,South Korea,Woodrow Wilson International Center for Scholars and Carnegie Corporation of New York,Original
42,"Oct. 3, 2023 - Oct. 13, 2023",Maura Weaver,Melanie Stansbury,D,NM-1,South Korea,Woodrow Wilson International Center for Scholars and Carnegie Corporation of New York,Original
43,"Oct. 11, 2023 - Oct. 13, 2023",Peter Warren,James Comer,R,KY-1,"San Francisco, CA",Software Education Foundation d.b.a. Software.org: the BSA Foundation,Original
44,"Oct. 11, 2023 - Oct. 13, 2023",Slate Herman,Cathy McMorris Rodgers,R,WA-5,"San Francisco, CA",Software Education Foundation d.b.a. Software.org: the BSA Foundation,Original
45,"Oct. 12, 2023 - Oct. 13, 2023",Sarah Jacobs,Madeleine Dean,D,PA-4,"Philadelphia, PA","Federal Home Loan Bank of Pittsburgh, Federal Home Loan Bank of Atlanta,",Original
46,"Oct. 11, 2023 - Oct. 13, 2023",Daniel Greene,Frank Pallone,D,NJ-6,"San Francisco, CA",Software Education Foundation d.b.a. Software.org: the BSA Foundation,Original
47,"Oct. 11, 2023 - Oct. 13, 2023",Rajesh Bharwani,James Comer,R,KY-1,"San Francisco, CA",Software Education Foundation d.b.a. Software.org: the BSA Foundation,Original
48,"Oct. 10, 2023 - Oct. 12, 2023",Ashley Lund,Raja Krishnamoorthi,D,IL-8,"Cambridge, MA",Massachusetts Institute of Technology,Original
49,"Oct. 10, 2023 - Oct. 12, 2023",Christopher Koya,Summer Lee,D,PA-12,"Cambridge, MA",Massachusetts Institute of Technology,Original
0,"Oct. 10, 2023 - Oct. 12, 2023",Lester Spencer,Emanuel Cleaver II,D,MO-5,"Cambridge, MD",Massachusetts Institute of Technology,Original
1,"Oct. 10, 2023 - Oct. 12, 2023",Melody Tan,Jennifer McClellan,D,VA-4,"Cambridge, MA",Massachusetts Institute of Technology,Original
2,"Oct. 10, 2023 - Oct. 12, 2023",Mitchell Heidenreich,Jill Tokuda,D,HI-2,"Cambridge, MA",Massachusetts Institute of Technology,Original
3,"Oct. 10, 2023 - Oct. 12, 2023",Noelle Gasper,Rick Larsen,D,WA-2,"Cambridge, MD",Massachusetts Institute of Technology,Original
4,"Oct. 10, 2023 - Oct. 12, 2023",William Dwyer,Robin Kelly,D,IL-2,"Cambridge, MA",Massachusetts Institute of Technology,Original
5,"Oct. 12, 2023 - Oct. 12, 2023",Andrew Bambrick,Bruce Westerman,R,AR-4,"Baltimore, MD","National Park Foundation, Coca-Cola Company, and Forward Global",Original
6,"Oct. 10, 2023 - Oct. 12, 2023",Lester Spencer,Emanuel Cleaver II,D,MO-5,"Cambridge, MA",Massachusetts Institute of Technology,Original
7,"Oct. 8, 2023 - Oct. 12, 2023",Brendan Larkin,Paul Tonko,D,NY-20,France,Foundation for Nuclear Studies,Original
8,"Oct. 10, 2023 - Oct. 12, 2023",Emma Reidy,Ruben Gallego,D,AZ-3,"Cambridge, MA",Massachusetts Institute of Technology,Original
9,"Oct. 8, 2023 - Oct. 12, 2023",Elise Krekorian,Cathy McMorris Rodgers,R,WA-5,France,Foundation for Nuclear Studies,Original
10,"Oct. 8, 2023 - Oct. 12, 2023",Hillary O'Brien,Frank D. Lucas,R,OK-3,France,Foundation for Nuclear Studies,Original
11,"Oct. 6, 2023 - Oct. 12, 2023",Kristopher Pittard,Frank Pallone,D,NJ-6,France,Foundation for Nuclear Studies,Original
12,"Oct. 10, 2023 - Oct. 12, 2023",Brian Rogers,Kevin Mullin,D,CA-15,"Cambridge, MA",Massachusetts Institute of Technology,Original
13,"Oct. 4, 2023 - Oct. 11, 2023",Tim Walberg,Tim Walberg,R,MI-5,Uganda,Fellowship Foundation (d.b.a. International,Original
14,"Oct. 8, 2023 - Oct. 9, 2023",Michael Bauman,Rick Larsen,D,WA-2,"Orlando, FL",American Public Transportation Association,Original
15,"Oct. 3, 2023 - Oct. 5, 2023",Charles McGrath,Patrick T. McHenry,R,NC-10,"St. Louis, MO",Conference of State Bank Supervisors and the Federal Reserve Bank of St. Louis,Original
16,"Oct. 3, 2023 - Oct. 5, 2023",Megan Guiltinan,Andy Barr,R,KY-6,"St. Louis, MO",Conference of State Bank Supervisors and the Federal Reserve Bank of St. Louis,Original
17,"Sept. 25, 2023 - Sept. 27, 2023",David Bean,Larry Bucshon,R,IN-8,"Las Vegas, NV",CTIA,Original
18,"Sept. 25, 2023 - Sept. 27, 2023",David Horsley,August Pfluger,R,TX-11,"Las Vegas, NV",CTIA,Original
19,"Sept. 25, 2023 - Sept. 27, 2023",Reagan Harrison,John Joyce,R,PA-13,"Las Vegas, NV",CTIA,Original
20,"Sept. 16, 2023 - Sept. 17, 2023",Joyce Beatty,Joyce Beatty,D,OH-3,"Rapid City, SD",Ripon Society and the Franklin Center for Global Policy Exchange,Original
21,"Sept. 16, 2023 - Sept. 17, 2023",Kelly Armstrong,Kelly Armstrong,R,ND-1,"Rapid City, SD",Ripon Society and the Franklin Center for Global Policy Exchange,Original
22,"Sept. 16, 2023 - Sept. 17, 2023",Adrian Smith,Adrian Smith,R,NE-3,"Rapid City, SD",Ripon Society and the Franklin Center for Global Policy Exchange,Original
23,"Sept. 1, 2023 - Sept. 10, 2023",Valerie Foushee,Valerie Foushee,D,NC-4,Israel,American Israel Education Foundation,Original
24,"Sept. 1, 2023 - Sept. 10, 2023",Valerie Foushee,Valerie Foushee,D,NC-4,Rwanda,American Israel Education Foundation,Original
25,"Sept. 1, 2023 - Sept. 10, 2023","Troy A. Carter, Sr.",Troy Carter,D,LA-2,Rwanda,American Israel Education Foundation,Original
26,"Sept. 1, 2023 - Sept. 10, 2023",Sheila Cherfilus-McCormick,Sheila Cherfilus-McCormick,D,FL-20,Israel,American Israel Education Foundation,Original
27,"Sept. 1, 2023 - Sept. 10, 2023",Sheila Cherfilus-McCormick,Sheila Cherfilus-McCormick,D,FL-20,Rwanda,American Israel Education Foundation,Original
28,"Sept. 1, 2023 - Sept. 10, 2023",Lucy McBath,Lucy McBath,D,GA-7,Israel,American Israel Education Foundation,Original
29,"Sept. 1, 2023 - Sept. 10, 2023",Alma S. Adams,Alma Adams,D,NC-12,Israel,American Israel Education Foundation,Original
30,"Sept. 1, 2023 - Sept. 10, 2023",Lucy McBath,Lucy McBath,D,GA-7,Rwanda,American Israel Education Foundation,Original
31,"Sept. 1, 2023 - Sept. 10, 2023",Alma S. Adams,Alma Adams,D,NC-12,Rwanda,American Israel Education Foundation,Original
32,"Sept. 1, 2023 - Sept. 10, 2023",Nikema Williams,Nikema Williams,D,GA-5,Israel,American Israel Education Foundation,Original
33,"Sept. 1, 2023 - Sept. 10, 2023",Nikema Williams,Nikema Williams,D,GA-5,Rwanda,American Israel Education Foundation,Original
34,"Sept. 1, 2023 - Sept. 10, 2023",Sheila Cherfilus-McCormick,Sheila Cherfilus-McCormick,D,FL-20,"Israel, Rwanda",American Israel Education Foundation,Original
35,"Sept. 1, 2023 - Sept. 10, 2023",Glenn Ivey,Glenn Ivey,D,MD-4,Israel,American Israel Education Foundation,Original
36,"Sept. 1, 2023 - Sept. 10, 2023",Glenn Ivey,Glenn Ivey,D,MD-4,Rwanda,American Israel Education Foundation,Original
37,"Sept. 6, 2023 - Sept. 10, 2023",Jim Costa,Jim Costa,D,CA-21,Ukraine,Yalta European Strategy Limited,Original
38,"Sept. 1, 2023 - Sept. 10, 2023",Jonathan L. Jackson,Jonathan Jackson,D,IL-1,Israel,American Israel Education Foundation,Original
39,"Sept. 1, 2023 - Sept. 10, 2023",Jonathan L. Jackson,Jonathan Jackson,D,IL-1,Rwanda,American Israel Education Foundation,Original
40,"Sept. 1, 2023 - Sept. 10, 2023","Troy A. Carter, Sr.",Troy Carter,D,LA-2,Israel,American Israel Education Foundation,Original
41,"Sept. 1, 2023 - Sept. 10, 2023",Ritchie Torres,Ritchie Torres,D,NY-15,Israel,American Israel Education Foundation,Original
42,"Sept. 1, 2023 - Sept. 10, 2023",Ritchie Torres,Ritchie Torres,D,NY-15,Rwanda,American Israel Education Foundation,Original
43,"Sept. 7, 2023 - Sept. 9, 2023",Robert Powell,Greg Steube,R,FL-17,"Los Angeles, CA","Clean Fuels Alliance Foundation (F/K/A National Biodiesel Foundation), ADM, Ag",Original
44,"Sept. 7, 2023 - Sept. 9, 2023",Shawn Rusterholz,Pete Stauber,R,MN-8,"Los Angeles, CA","Clean Fuels Alliance Foundation (F/K/A National Biodiesel Foundation), ADM, Ag",Original
45,"Sept. 7, 2023 - Sept. 9, 2023",Christopher Koya,Summer Lee,D,PA-12,"Los Angeles, CA","Clean Fuels Alliance Foundation (F/K/A National Biodiesel Foundation), ADM, Ag",Original
46,"Sept. 7, 2023 - Sept. 9, 2023",Jacquline Anderson,Larry Bucshon,R,IN-8,"Los Angeles, CA","Clean Fuels Alliance Foundation (F/K/A National Biodiesel Foundation), ADM, Ag",Original
47,"Sept. 7, 2023 - Sept. 9, 2023",John Rayburn,Rosa DeLauro,D,CT-3,"Los Angeles, CA","Clean Fuels Alliance Foundation (F/K/A National Biodiesel Foundation), ADM, Ag",Original
48,"Sept. 7, 2023 - Sept. 9, 2023",Mitchell Heidenreich,Jill Tokuda,D,HI-2,"Los Angeles, CA","Clean Fuels Alliance Foundation (F/K/A National Biodiesel Foundation), ADM, Ag",Original
49,"Sept. 7, 2023 - Sept. 9, 2023",Zachary Settle,James Comer,R,KY-1,"Los Angeles, CA","Clean Fuels Alliance Foundation (F/K/A National Biodiesel Foundation), ADM, Ag",Original
0,"Sept. 5, 2023 - Sept. 8, 2023","William M. ""Bill"" Christian",Randy Weber,R,TX-14,France,Organization of Iranian American Communities (OIAC),Original
1,"Sept. 6, 2023 - Sept. 8, 2023",Dawn-Marie Sullivan,Andrew Clyde,R,GA-9,"Cambridge, MD","Conservative Partnership Institute, Inc.",Original
2,"Sept. 6, 2023 - Sept. 8, 2023",Sean McAndrews,Josh Brecheen,R,OK-2,"Cambridge, MD","Conservative Partnership Institute, Inc.",Amendment
3,"Sept. 6, 2023 - Sept. 8, 2023",Blayne Callas,Alex Mooney,R,WV-2,"Cambridge, MD","Conservative Partnership Institute, Inc.",Original
4,"Sept. 6, 2023 - Sept. 8, 2023",Paula Nicole Manley,Ben Cline,R,VA-6,"Cambridge, MD","Conservative Partnership Institute, Inc.",Original
5,"Sept. 6, 2023 - Sept. 8, 2023",Sean McAndrews,Josh Brecheen,R,OK-2,"Cambridge, MD","Conservative Partnership Institute, Inc.",Original
6,"Sept. 6, 2023 - Sept. 8, 2023",Travis Trejo,Andy Harris,R,MD-1,"Cambridge, MD","Conservative Partnership Institute, Inc.",Original
7,"Sept. 5, 2023 - Sept. 8, 2023","Randy Weber, Sr.",Randy Weber,R,TX-14,France,Organization of Iranian American Communities (OIAC),Original
8,"Sept. 6, 2023 - Sept. 8, 2023",Daniel West,Clay Higgins,R,LA-3,"Cambridge, MD","Conservative Partnership Institute, Inc.",Original
9,"Sept. 6, 2023 - Sept. 8, 2023",Emma White,Barry Moore,R,AL-2,"Cambridge, MD","Conservative Partnership Institute, Inc.",Original
10,"Sept. 6, 2023 - Sept. 8, 2023",Kyle McKay,Eric Burlison,R,MO-7,"Cambridge, MD","Conservative Partnership Institute, Inc.",Original
11,"Sept. 6, 2023 - Sept. 8, 2023",Thomas McCullough,Michael Cloud,R,TX-27,"Cambridge, MD","Conservative Partnership Institute, Inc.",Original
12,"Sept. 6, 2023 - Sept. 8, 2023",Travis Rowland,Dan Bishop,R,NC-8,"Cambridge, MD","Conservative Partnership Institute, Inc.",Original
13,"Sept. 7, 2023 - Sept. 7, 2023",Gabrielle Sheitelman,Juan Ciscomani,R,AZ-6,"Los Angeles, CA","Clean Fuels Alliance Foundation (F/K/A National Biodiesel Foundation), ADM, Ag",Original
14,"Aug. 26, 2023 - Sept. 5, 2023",Chellie Pingree,Chellie Pingree,D,ME-1,Norway,"Aspen Institute, Inc., Breakthrough Energy Foundation, and Climate Imperative",Original
15,"Aug. 25, 2023 - Sept. 4, 2023",Mark Pocan,Mark Pocan,D,WI-2,Nepal,"Cooperative for Assistance and Relief Everywhere, Inc. (CARE), and Humanity",Original
16,"Aug. 26, 2023 - Sept. 4, 2023",Earl Blumenauer,Earl Blumenauer,D,OR-3,Norway,Aspen Institute Inc.,Original
17,"Aug. 25, 2023 - Sept. 3, 2023",Susan Wild,Susan Wild,D,PA-7,Nepal,"Cooperative for Assistance and Relief Everywhere, Inc. (CARE), and Humanity",Original
18,"Aug. 24, 2023 - Sept. 3, 2023",John Sarbanes,John Sarbanes,D,MD-3,Norway,"Aspen Institute, Inc., Breakthrough Energy Foundation, and Climate Imperative",Original
19,"Aug. 27, 2023 - Sept. 2, 2023",Alec Daman,Bill Huizenga,R,MI-4,Lithuania,"Atlantic Council of the United States, Inc.",Original
20,"Aug. 27, 2023 - Sept. 2, 2023",Alec Daman,Bill Huizenga,R,MI-4,Poland,"Atlantic Council of the United States, Inc.",Original
21,"Aug. 27, 2023 - Sept. 2, 2023",Monique Bolsajian,Ted Lieu,D,CA-36,Lithuania,"Atlantic Council of the United States, Inc.",Original
22,"Aug. 27, 2023 - Sept. 2, 2023",Monique Bolsajian,Ted Lieu,D,CA-36,Poland,"Atlantic Council of the United States, Inc.",Original
23,"Aug. 26, 2023 - Sept. 2, 2023",Sebastian Wigley,Young Kim,R,CA-40,"Armenia,",International Committee of the Red Cross,Original
24,"Aug. 26, 2023 - Sept. 2, 2023",Sebastian Wigley,Young Kim,R,CA-40,"Azerbaijan,",International Committee of the Red Cross,Original
25,"Aug. 26, 2023 - Sept. 2, 2023",Sebastian Wigley,Young Kim,R,CA-40,Georgia,International Committee of the Red Cross,Original
26,"Aug. 27, 2023 - Sept. 2, 2023",Victoria Rivas,Pete Aguilar,D,CA-33,Lithuania,"Atlantic Council of the United States, Inc.",Original
27,"Aug. 27, 2023 - Sept. 2, 2023",Victoria Rivas,Pete Aguilar,D,CA-33,Poland,"Atlantic Council of the United States, Inc.",Original
28,"Aug. 25, 2023 - Sept. 2, 2023",Daniel T. Kildee,Dan Kildee,D,MI-8,Nepal,"Cooperative for Assistance and Relief Everywhere, Inc. (CARE), and Humanity",Original
29,"Aug. 26, 2023 - Sept. 2, 2023",Deborah Ross,Deborah Ross,D,NC-2,Norway,"Aspen Institute, Inc., Breakthrough Energy Foundation, and Climate Imperative",Original
30,"Aug. 27, 2023 - Sept. 2, 2023",Jordan Dickinson,Dan Kildee,D,MI-8,Lithuania,"Atlantic Council of the United States, Inc.",Original
31,"Aug. 27, 2023 - Sept. 2, 2023",James Dolbow,Austin Scott,R,GA-8,Lithuania,"Council of the United States, Inc.",Original
32,"Aug. 27, 2023 - Sept. 2, 2023",Jordan Dickinson,Dan Kildee,D,MI-8,Poland,"Atlantic Council of the United States, Inc.",Original
33,"Aug. 27, 2023 - Sept. 2, 2023",James Dolbow,Austin Scott,R,GA-8,Poland,"Council of the United States, Inc.",Original
34,"Aug. 27, 2023 - Sept. 2, 2023",Christopher Ringer,Jeffrey Duncan,R,SC-3,"Lithuania,","Atlantic Council of the United States, Inc.",Original
35,"Aug. 27, 2023 - Sept. 2, 2023",Christopher Ringer,Jeffrey Duncan,R,SC-3,Poland,"Atlantic Council of the United States, Inc.",Original
36,"Aug. 25, 2023 - Sept. 2, 2023",Veronica Escobar,Veronica Escobar,D,TX-16,Nepal,"Cooperative for Assistance and Relief Everywhere, Inc. (CARE), and Humanity",Original
37,"Aug. 27, 2023 - Sept. 2, 2023",Danielle Lindholm,Maxine Waters,D,CA-43,Lithuania,"Atlantic Council of the United States, Inc.",Original
38,"Aug. 27, 2023 - Sept. 2, 2023",Danielle Lindholm,Maxine Waters,D,CA-43,Poland,"Atlantic Council of the United States, Inc.",Original
39,"Aug. 27, 2023 - Sept. 2, 2023",Leslie Shedd,Michael McCaul,R,TX-10,"Vilnius, Lithuania","Atlantic Council of the United States, Inc.'s Eurasia Center",Original
40,"Aug. 27, 2023 - Sept. 2, 2023",Leslie Shedd,Michael McCaul,R,TX-10,"Warsaw, Poland","Atlantic Council of the United States, Inc.'s Eurasia Center",Original
41,"Aug. 26, 2023 - Sept. 2, 2023",Gary J. Palmer,Gary Palmer,R,AL-6,Norway,"Aspen Institute, Inc., Breakthrough Energy Foundation, and Climate Imperative",Original
42,"Aug. 26, 2023 - Sept. 2, 2023",Jesse Von Stein,James Baird,R,IN-4,"Georgia, Armenia, Azerbaijan",International Committee of the Red Cross,Original
43,"Aug. 27, 2023 - Sept. 2, 2023",John Lynch,Jim Costa,D,CA-21,"Lithuania,","Atlantic Council of the United States, Inc.",Original
44,"Aug. 27, 2023 - Sept. 2, 2023",Rolando Hernandez,Mark Green,R,TN-7,Lithuania,"Atlantic Council of the United States, Inc.",Original
45,"Aug. 27, 2023 - Sept. 2, 2023",Rolando Hernandez,Mark Green,R,TN-7,Poland,"Atlantic Council of the United States, Inc.",Original
46,"Aug. 26, 2023 - Sept. 2, 2023",Heather Campbell,Kay Granger,R,TX-12,Azerbaijan,International Committee of the Red Cross,Original
47,"Aug. 26, 2023 - Sept. 2, 2023",Heather Campbell,Kay Granger,R,TX-12,"Georgia, Armenia,",International Committee of the Red Cross,Original
48,"Aug. 27, 2023 - Sept. 2, 2023",Christopher Ringer,Jeffrey Duncan,R,SC-3,Lithuania,"Atlantic Council of the United States, Inc.",Original
49,"Aug. 27, 2023 - Sept. 2, 2023",Leslie Shedd,Michael McCaul,R,TX-10,Lithuania,"Atlantic Council of the United States, Inc.",Original
0,"Aug. 27, 2023 - Sept. 2, 2023",Leslie Shedd,Michael McCaul,R,TX-10,Poland,"Atlantic Council of the United States, Inc.",Original
1,"Aug. 27, 2023 - Sept. 2, 2023",John Lynch,Jim Costa,D,CA-21,Lithuania,"Atlantic Council of the United States, Inc.",Original
2,"Aug. 27, 2023 - Sept. 2, 2023",John Lynch,Jim Costa,D,CA-21,Poland,"Atlantic Council of the United States, Inc.",Original
3,"Aug. 26, 2023 - Sept. 2, 2023",Jesse Von Stein,James Baird,R,IN-4,"Armenia,",International Committee of the Red Cross,Original
4,"Aug. 26, 2023 - Sept. 2, 2023",Jesse Von Stein,James Baird,R,IN-4,"Azerbaijan,",International Committee of the Red Cross,Original
5,"Aug. 26, 2023 - Sept. 2, 2023",Jesse Von Stein,James Baird,R,IN-4,Georgia,International Committee of the Red Cross,Original
6,"Aug. 26, 2023 - Sept. 2, 2023",Heather Campbell,Kay Granger,R,TX-12,"Armenia,",International Committee of the Red Cross,Original
7,"Aug. 26, 2023 - Sept. 2, 2023",Heather Campbell,Kay Granger,R,TX-12,"Azerbaijan,",International Committee of the Red Cross,Original
8,"Aug. 26, 2023 - Sept. 2, 2023",Heather Campbell,Kay Granger,R,TX-12,Georgia,International Committee of the Red Cross,Original
9,"Aug. 26, 2023 - Sept. 1, 2023",Kelly Armstrong,Kelly Armstrong,R,ND-1,Norway,"Aspen Institute, Inc., Breakthrough Energy Foundation, and Climate Imperative",Original
10,"Aug. 28, 2023 - Sept. 1, 2023",Griffin Wong,Dean Phillips,D,MN-3,United Kingdom,Employee Ownership Foundation and the Center on Business and Poverty,Original
11,"Aug. 26, 2023 - Sept. 1, 2023",Marc Veasey,Marc Veasey,D,TX-33,Norway,"Aspen Institute, Inc., Breakthrough Energy Foundation, and Climate Imperative",Original
12,"Aug. 22, 2023 - Sept. 1, 2023",Bradley Schneider,Brad Schneider,D,IL-10,Norway,"Aspen Institute, Inc., Breakthrough Energy Foundation, and Climate Imperative",Original
13,"Aug. 26, 2023 - Sept. 1, 2023",Julia Brownley,Julia Brownley,D,CA-26,Norway,"Aspen Institute, Inc., Breakthrough Energy Foundation, and Climate Imperative",Original
14,"Aug. 27, 2023 - Sept. 1, 2023",John Joyce,John Joyce,R,PA-13,Norway,"Aspen Institute, Inc., Breakthrough Energy Foundation, and Climate Imperative",Original
15,"Aug. 26, 2023 - Sept. 1, 2023",Kathy Castor,Kathy Castor,D,FL-14,Norway,"Aspen Institute, Inc., Breakthrough Energy Foundation, and Climate Imperative",Original
16,"Aug. 23, 2023 - Sept. 1, 2023",Rick Larsen,Rick Larsen,D,WA-2,Norway,"Aspen Institute, Inc., Breakthrough Energy Foundation, and Climate Imperative",Original
17,"Aug. 22, 2023 - Sept. 1, 2023",Scott Peters,Scott Peters,D,CA-50,Norway,"Aspen Institute, Inc., Breakthrough Energy Foundation, and Climate Imperative",Original
18,"Aug. 26, 2023 - Sept. 1, 2023",Sean Casten,Sean Casten,D,IL-6,Norway,"Aspen Institute, Inc., Breakthrough Energy Foundation, and Climate Imperative",Original
19,"Aug. 26, 2023 - Sept. 1, 2023",Debra Lesko,Debbie Lesko,R,AZ-8,"Bergen, Norway","The Aspen Institute, Inc. Congressional Program)",Original
